ஏன் இந்த திடீர் ஹேஷ்டேக்	why this sudden emphasis
ஆனால் அதன் தாக்கம் சற்று குறைவாக இருக்கும்	but it will have little effect
ஆனால் தவறு செய்யும்படி ஜனங்களை அவர் தூண்டுகிறாரா	does he though incite others to commit vile deeds
இதுவரை அவர் குறித்த எந்தத் தகவல்களும் வெளியாகவில்லை	he is yet to receive any information in this regard
10 ரூபாய்க்கு நாலா	rs 10 crore
இந்த மாநாட்டை பிரதமர் நரேந்திர மோடி தொடங்கி வைத்தார்	the conference was inaugurated by prime minister narendra modi
அவர் தனது மனதில் உள்ளதை சொல்லி இருக்கிறார்	he says whats on his mind
செண்பகத்திடம் வீட்டைவிட்டுச் சென்று விடும்படியாய் கேட்கிறார்	he asked him to leave his house
அதற்கான பேச்சுவார்த்தை முடிந்துவிட்டது	the conversation ended
எனக்கு மிகப்பெரிய மனவேதனையை தந்துவிட்டனர்	i was in considerable pain
பேஸ்புக்கின் உலகளாவிய விவகாரங்கள் மற்றும் தகவல் தொடர்பு துணைத் தலைவர் நிக் கிளெக்	facebooks vice president of global affairs and communications nick clegg
ஊராட்சி அளவிலான கூட்டமைப்பு	panchayat level federation vision
பிறகு அவருக்குக் கல்வி கற்பிக்கத் தொடங்கினார்	later she started school
தமிழில் ஏன் படம் கிடைக்கவில்லை	why not a telugu film
இது ஆண் ஆதிக்கம் மிக்க உலகம்	this is a world of men
இந்துமதம் அழிகிறதா	is hinduism fatalistic
பஸ் போக்குவரத்து மெட்ரோ ரயில் போக்குவரத்து தடை செய்யப்படுகிறது	city buses metro rail remain banned
இயேசு கட்டளையிட்ட அனைத்தையும் போதிப்பதற்கு அதிக முயற்சி தேவைப்படுகிறது	in fact jesus told his disciples how difficult a thing it will be for those with money to enter into the kingdom of god
நீங்கள் அறிந்து கொண்டே உண்மையைப் பொய்யுடன் கலக்காதீர்கள் உண்மையை மறைக்கவும் செய்யாதீர்கள்	confound not truth with falsehood nor knowingly conceal the truth
அறுபது வயதைத் தாண்டிய விவசாயிகளுக்கு மாதம் ரூ	for farmers rs
அப்போது அவர்கள் விருட்டென்று சிலிர்த்துப் போவார்கள்	then they will smile
இரவு முழுவதும் வீட்டில் யாரும் தூங்கவில்லை	no one slept that night
கூந்தல் கலைந்து இருந்தது	her hair were scattered
இதற்கு எல்லாம் விரைவில் முடிவு வரும்	this will be over soon
இந்த விஷயம் எனக்கு பெரிய துயரத்தை கொடுக்கிறது	this is very distressing for me
னு சொல்வாங்க	tell me that
