எவரையும் அவர் தூற்றிப்பாடியது கிடையாது	he didnt spare anyone
இதனால் சோனாரை பயன்படுத்தி மீன்களின் தடயங்களை குறிக்கும் முயற்சிகள் வீணாகின்றன	when the background clatter of falling snow masks signals from the fish the monitoring exercise has to be aborted
சிறுதொழில் முனைவோருக்கு	for entrepreneurs
அவர்களில் அதிகமானோர் குஜராத்தியரே	most of these are in gujarat
விசாரணை நடத்தியுள்ளனர்	were investigated
அந்த வீட்டில் கிடந்த முழு நகைகள்பணங்கள் போன்றனவும் திருடு போயிருந்தமை	cash and jewellery were also stolen from the house
நன்மைகல் ஜீரணத்திற்கு மற்றும் உடல் எடை குறைக்க உதவும்	advantage helps lose weight
அன்பானவரின் மரணம்	moved by a sense of urgency
தமிழக அரசு மத்திய அரசின் சொல்படி ஆடுகிறது என்று அவர் கூறியுள்ளார்	tamil nadu government is acting at the behest of central government
போராட்டம் தொடர்ந்து நடந்து வருகிறது	the struggle continues
அறிந்து கொள்ளுங்கள்	know here
இதற்கு பிறகு பெரிய அளவில் அசம்பாவிதங்கள் எதுவும் நடக்கவில்லை	no major incident has taken place since
சுட்டுத்தள்ளு அவனை	finish him off
இன்று மாலை 4 மணிக்கு கர்நாக சட்டசபையில் நம்பிக்கை வாக்கெடுப்பு நடைபெறுகிறது	voting for the karnataka assembly elections is going to end by 600 pm today
இதையடுத்து திருச்சி மத்திய சிறைக்கு அவர்கள் கொண்டு செல்லப்பட்டனர்	he was then taken to trichy central prison
புதிய களம்	new ground
பைபிளில் வில்லோ மரங்களா	you may not think that the poplar tree grows as far south as the middle east
கண் இமைக்கும் நேரத்தில் அவர் தலை நசுங்கி சம்பவ இடத்திலேயே பலியானார்	he suffered head injuries and died on the spot
மிஷனரிகள் வந்தனர்	the magicians came
நம்மாழ்வார் யார்	who is ours
கிறிஸ்தவ கூட்டங்களில் சொல்பவற்றை கேட்பதற்கும் நம் இருதயத்தை தயார்படுத்துவது மிக முக்கியம்	how may we prepare our heart to listen at christian meetings
அவனை நான் அதிகமாக டார்ச்சர் பண்ணேன்	i bothered him a lot
குத்தாட்டம் போட்ட குத்துவிளக்கு	dumb batting
பின்னர் இலங்கை சட்டக் கல்லூரியில் பயின்று வழக்கறிஞரானார்	later on he studied at ceylon law college and qualified as a lawyer
அதிக சம்பள உயர்வால் தொழிலாளர்கள் மகிழ்ச்சி	pay hike makes employees happy
உங்கள் சக்தி அருமையானது அது என்னை வழிநடத்தட்டும் என்று யெகோவாவிடம் கேட்டார்	your spirit is good may it lead me
அப்படி உதவியவர்களில் லூக்காவும் இருந்திருப்பார்	luke was likely among those attendants
தமிழ் படங்களை தொடர்ந்து கன்னடம் மலையாளம் ஹிந்தி உள்ளிட்ட மொழி படங்களிலும் நடித்து பிரபலமானார்	along with hindi films she also acted in kannada malayalam and tamil films
அதிரடி ஆக்ஷன்கள்	action scenes
தமிழகம் ஒரு நல்ல நிலையில் இல்லை	the situation in tamil nadu is no better
உணவில் நார்ச்சத்து இன்மை	bread has no nutrition
இதனை பேச்சுவார்த்தை மூலமே தீர்க்க வேண்டும்	the issue should be resolved through talks
அந்த அமைப்பின் உறுப்பினர்கள் கேட்ட கேள்விக்கும் பதிலளித்தார்	he also responded to the queries of the members
இதுதொடர்பாக வழக்குகளும் போடப்பட்டன	cases had been registered in this regard
என் கைவளைகள் தாழ்கின்றன	my jaws dropped
அந்தச் சம்பவம் குறித்த காணொளி சமூக ஊடகங்களில் வலம் வந்தது	a video of the incident had surfaced on social media
எவ்விதமாக	a who properly partake of the memorial emblems
இந்த ஆடியோ வாட்ஸ்அப்பில் வைரலாக பரவி வருகிறது	the video is being widely circulated on whatsapp
ஆர் காங்கிரஸ் ஆகியவை இடம்பெற்றுள்ளன	r of the congress
வருகிற எஞ்சிய நாள்களில் அதிக அளவில் மக்கள் கூடுவாா்கள்	more people will be booked in the coming days
இதனால் தான் உலகமே இந்தியாவை திரும்பி பார்க்கிறது	that is why the world is watching india
வசூல் ரீதியாகவும் விமர்சன ரீதியாகவும் நல்ல வரவேற்பை பெற்று இருந்தது இந்த படம்	the movie was wellreceived by the audiences and critics
ரசீது ஒப்புதல்	acknowledging receipt
அதற்காக எனக்கு யாரிடமும் கோபமோ வெறுப்போ இல்லை	i have no anguish nor grudge against anyone
டாஸ் வென்றார் தோனி முதலில் பந்துவீச்சு தேர்வு	dhoni wins toss to bowl first
மறந்து விட்டோம்	we forget
என்றார் கோலாகலர்	said kajol
இவ்வாறு சட்டசபையில் விவாதம் நடந்தது	this was debated in parliament
வலைத்தளத்தை மீளேற்று	reload website
ஆனால் அது நம் நாட்டில் கிடைக்கவில்லை	but it doesnt in our country
இது டர்போ மெஷின்ஸ் turbo machines செயல்திறனில் மிகவும் குறிப்பிடத்தக்க செல்வாக்கைக் கொண்டுள்ளது	this has a very significant influence in the performance of the turbomachines
இந்த வரிசையில் தற்போது இந்தியாவும் இடம் பிடித்துள்ளது	india are currently placed second in the list
சிகிச்சைக்கு பிறகு குணமடைந்தார்	after treatment he was cured
இதுக்கு என்ன செய்யலாம்	what can you do about this
அவரது கண்களில் தெரிந்தது என்ன	what did he see in her
இது கோழைத்தனமான நடவடிக்கையாகும்	thats a cowardly act
நீங்கள் தான் த இந்துவின் நிருபரா	are you hindu
இனியும் எதுவுமே பேசப்பட மாட்டாது	nothing else is talked about
என் பணம்ணே என்றேன்	my money
ஒப்படைப்பு ஆணை	delivery order
மூளைச்சலவைச் செய்தல்	brain washing
எனக்கு யாரும் நிதி கொடுக்கவில்லை	no one gave me money
அதற்குப் பிறகு வீடு திரும்புவதற்கு என் நீண்டதூரப் பயணத்தை ஆரம்பித்தேன்	when i finally arrived home in st martin i drove up the road and spotted maria harvesting wheat
இலங்கையில் இருந்து வந்துள்ள மாடலான அவர் தமிழில் சில படங்களிலும் நடித்துள்ளார்	he has also acted in a few tamil films
இதனை உடனடியாக செய்திட இயலாது	it cannot be done immediately
இது காரணி VIII இன் குறைபாட்டினை விளைவிக்கும் சில மரபணு மாற்றத்தினால் இருக்கலாம்	it could be some genetic mutation that results in the deficiency of factor viii
ஆனால் வழி குழம்பிவிட்டது	but the way is disorderly
மெளனம் சாதிக்கும் கொள்கை	misguided loyalty seems to be the primary reason youths hold back from reporting a friends wrongdoing
கோல்டென் கேட் ப்ரிட்ஸ்	golden gate bridge
சம்பவ இடத்துக்கு விரைந்த போலீஸார்	police rushed to the spot
அது சினிமாவுக்கு நல்லதில்லைங்ணா	not fit for films
ஆக ஒரு பவுண்டுக்கு பன்னிரண்டு 12கேஜ் குண்டுகள் இருக்கும்	in our terms we are asking if there is a knot with ropelength 12
யெகோவாவின் மக்கள் அனைவரும் பாடலில் சந்தோஷத்தைக் காணமுடியும்	even though we may have some inhibitions in expressing ourself verbally our feelings toward jehovah can be free when we voice them in song
அத்தனை கோபம் வந்தது	so much anger
கடந்த ஆண்டு உலகம் முழுவதும் 1161 பில்லியன் டாலர் விற்றுமுதல் பெற்றுள்ளது	its turnover for the previous year was dollar1161 billion
அந்தத் தேசத்தை உளவு பார்ப்பதற்காக 12 பேரை மோசே அனுப்பினார்	moses then sent 12 men to spy out the land
அந்த படத்தின் முதல் பார்வை மம்முட்டியால் வெளியிடப்பட்டது	the first look of the film has been unveiled
என்று நக்கல் அடிப்பார்கள்	thatll be snagging
செய்தி சீக்கிரமே பரவியது	the news soon spread
சிலர் அங்கேயே படுத்திருந்தனர்	some people gathered there
தனால் பிரச்சனை வரத்தான் செய்யும்	hence there will be problems
என்னுடைய அம்மாவும் நானும் மட்டுமே உயிரோடே விடப்பட்டோம்	i wondered when will he strike and who will be next mother or i
தலைமைப் பொறியாளர்வேபொ வேளாண்மைப் பொறியியல் துறை வேபொது நந்தனம் சென்னை 600	chief engineer agricultural engineering department nandanam chennai35
கூட்டத்தில் தலைமைச் செயலர் நிதித்துறை செயலர் மற்றும் முதல்வரின் தனிச்செயலர்கள் இருந்தனர்	the meeting was attended by the chief minister the finance secretary and the joint secretary
தற்கான வழக்குகளும் கோர்ட்டில் நடந்து வருகின்றன	there are cases in court
நினைவுகள் அழிவதில்லை	memories do not vanish
இனியும் அறியப்போவதில்லை	i dont know anymore
மேலும் முட்டை விற்பனையும் குறைந்து வருவதால் முட்டை விலையும் குறைந்து வருகிறது	similarly the prices of eggs too have reduced
மேலும் படிக்க அரசியலில் களம் இறங்குகிறார் ப்ரியங்கா காந்தி… 2019 தேர்தலுக்கான வியூகம்	priyanka gandhi will be congress trump card for 2019 polls shiv sena
பாக்டீரியாவோடு மல்லுக்கட்டுவது சரியா	in most cases it is prime agricultural land that is sacrificed for urban expansion pollution kills the demand for whales
கிறிஸ்தவ இளைஞர்கள் என்ன செய்ய வேண்டும்	what is a wise choice for christian youths today
வேறு எந்த சான்றும் தேவையில்லை	no more proof is required
அதிகப்படியான கலோரிகளை எரிக்க உதவுகிறது	helps shed extra calories
அதற்கு சட்டம் இடம் கொடுக்கவில்லை என ஆளுனர் கூறினார்	this legislation doesnt provide that opportunity he said
சாய்ந்து கிடந்த மரங்கள் விடிய விடிய அகற்றப்பட்டன	fallen trees were being removed
மிகவும் சுவையாக இருக்கும்	very tasty
அல்லது ஓடி தான் போனார்களா	or just walks away
அது அனைவரதும் கடமையும் பொறுப்புமாகும்	this is everyones responsibility
கோயில் நடைதிறப்பு நேரம்	temple timings
உலகெங்கிலும் பெட்ரோல் விலை குறைந்துகொண்டே வருகிறது	the price of oil in the international market is down
இருந்தும் என் மனம் புரட்டிக் கொண்டிருந்தது	my mind wavered though
என் மனம் என நான் நினைக்கிறேனே அது என்ன	inside my heart what i am thinking
இதுகுறித்து திமிரி போலீஸாா் வழக்குப் பதிந்து விசாரணை நடத்தி வருகின்றனா்	the police have registered a case and are investigating into it
அவற்றுக்காக உயிர்கொடுத்தும் இருக்கிறார்கள்	they survive on them
நாங்கள் அனைவரும் இது தொடர்பாக ஆராய இருக்கின்றோம்	we are all exploring that
எஸ் என்டோர்க் 125 என்பது இந்தியாவில் டி வி எஸ் மோட்டார் நிறுவனத்தால் தயாரிக்கப்பட்ட மோட்டார் ஸ்கூட்டர் ஆகும்	tvs ntorq 125 is a motor scooter manufactured by tvs motor company in india
அதனால் இந்த குற்றசாட்டு குறித்து உரிய விசாரணை நடத்தப்பட வேண்டும்	hence an investigation must be held into the matter
பாம்புகள் உலவுவவை	snakes are creepy
அவருடைய 4 பிள்ளைகளும் பாலைவனம் வழியாக 8 நாட்கள் பயணம் செய்ய வேண்டியிருந்தது	a christian sister related that her family fled the persecution in eritrea
சில… பெண்களுக்கு மட்டும்	for women only
திணறும் வங்கிகள்	booming banks
மொத்தமாக 270000 பொலிஸ் அதிகாரிகளை துருக்கி கொண்டுள்ளது	in total turkey has around 270000 police officers
காரணம்	what are they going to say to her
ஆனால் நான் அப்படி அல்ல	but i am not like that
எடியூரப்பா பதவியேற்ற 6 மணி நேரங்களில் 4 ஐபிஎஸ் அதிகாரிகளை இடமாற்றம் செய்து உத்தரவிட்டார்	four ips and ias officers have been transferred by cm yeddyurappa within six hours of taking oath on thursday
ஆகவே அவர் மிஷனரியிடம் தன்னுடைய பெயரையும் அலுவலக விலாசத்தையும் கொடுத்தார்	later the missionary went there and asked for mr l
பூமி நடுங்கியது	the ground was shaking
இந்தப் படத்தின் ஷூட்டிங் லாக்டவுன் காரணமாக தடைபட்டுள்ளது	the shooting of the film had come to a halt due to the lockdown
அப்புறம்என்ன யோசனை	so whats the idea
இது இந்தியா முழுமைக்கும் கிடைத்துள்ள மரியாதையாகும்	it is not only for me but it is an honor to entire india
ஒவ்வொன்றும் தனித்தன்மை மிக்கதாக உள்ளது	each is unique
வார்த்தைகளால் வதங்கி	bowled over by words
